URLs Downloaded, size, # of outlinks found, content-type
https://www.cnn.com/videos/world/2018/09/26/macron-speech-unga-trump-us-policies-sot-vpx.cnn/video/playlists/top-news-videos/,1806322,204,text/html
https://www.cnn.com/travel/article/champagne-space/index.html,100927,45,text/html
https://www.cnn.com/videos/politics/2018/09/28/jeff-flake-kavanaugh-confronted-by-protesters-elevator-nr-vpx.cnn/video/playlists/top-news-videos/,1763870,101,text/html
https://www.cnn.com/profiles/christina-macfarlane,1580074,184,text/html
https://www.cnn.com/profiles/boris-sanchez-profile,1590786,196,text/html
https://www.cnn.com/2018/09/16/australia/australia-needles-strawberries/index.html,1585081,184,text/html
https://www.cnn.com/profiles/alison-kosik-profile,1568808,173,text/html
https://www.cnn.com/videos/politics/2018/09/29/trump-no-back-up-plan-kavanaugh-sot-nr-vpx.cnn/video/playlists/top-news-videos/,1763475,101,text/html
https://www.cnn.com/2018/09/21/us/florence-carolinas-flooding-wxc/index.html,1752274,206,text/html
https://www.cnn.com/2018/09/17/australia/australia-strawberry-contamination-investigation-intl/index.html,1588357,187,text/html
https://www.cnn.com/2018/09/22/us/florence-carolinas-flooding-saturday-wxc/index.html,1720750,203,text/html
https://www.cnn.com/profiles/rachel-crane-profile,1689375,275,text/html
https://www.cnn.com/videos/politics/2018/09/27/kavanaugh-opening-statement-national-disgrace-sot-vpx.cnn/video/playlists/top-news-videos/,1763729,101,text/html
https://www.cnn.com/travel/article/cote-steakhouse-new-york-city/index.html,143996,54,text/html
https://www.cnn.com/2018/09/14/australia/scott-morrison-fatman-scoop-twitter-intl/index.html,1595762,201,text/html
https://www.cnn.com/2017/11/15/opinions/op-ed-christy-turlington-burns-every-mother-counts-2017/index.html,1733436,203,text/html
https://www.cnn.com/profiles/gary-tuchman-profile,1633492,220,text/html
https://www.cnn.com/2017/10/23/health/72-new-breast-cancer-mutations-study/index.html,1726560,202,text/html
https://www.cnn.com/2018/09/11/weather/gallery/hurricane-florence/index.html,1648921,173,text/html
https://www.cnn.com/profiles/chad-myers-profile,1589649,196,text/html
https://www.cnn.com/travel/article/emeril-lagasse-new-orleans/index.html,119247,53,text/html
https://www.cnn.com/2017/11/29/health/toys-r-us-clay-mold-recall/index.html,1586129,187,text/html
https://www.cnn.com/profiles/elizabeth-cohen,1628609,214,text/html
